reservoir,regime,frames,green_rate,amber_rate,red_rate,alert_rate,mean_residual_evidence,mean_input_evidence,mean_geometry_evidence,mean_event_score
64,NORMAL,300,1.0,0.0,0.0,0.0,0.00024290105581610007,0.00043996934995850853,0.001143181510263681,0.012374429554131266
64,BACKDOOR_PERIODIC,300,0.0,1.0,0.0,1.0,0.05791815565507542,1.5973280421901173,0.013897169978374988,10.530208077992805
64,NOISE_CRASH,300,0.0,1.0,0.0,1.0,0.445949951275452,3.0,0.0016329462298991023,21.359689806488372
64,FROZEN_LOW_VARIANCE,300,0.0,0.09333333333333334,0.9066666666666666,1.0,1.5382519245231685,0.7767728517174611,0.43063571431278347,12.083660708063197
128,NORMAL,300,1.0,0.0,0.0,0.0,0.0008297186634927445,0.00043996934995850853,0.002891996051404079,0.027253656971020994
128,BACKDOOR_PERIODIC,300,0.0,1.0,0.0,1.0,0.04125248562794473,1.5973280421901173,0.0055765518230993264,10.43142596854206
128,NOISE_CRASH,300,0.0,1.0,0.0,1.0,0.5115090193329741,3.0,0.0006667972706035411,21.485053895960498
128,FROZEN_LOW_VARIANCE,300,0.0,0.09666666666666666,0.9033333333333333,1.0,1.3641202355911177,0.7767728517174611,0.39501129105654686,11.460017314673854
