partition,seed,scenario,method,rawAlertEvents,mergedIncidents,truePositiveIncidents,falsePositiveIncidents,truthIncidents,detectedTruthIncidents,incidentRecall,incidentPrecision,falseAlertsPerOperatingDay,operatingSeconds,meanDetectionDelaySeconds,forecastMAE,intervalCoverage,intervalMeanWidth,thresholdPolicy,forecastMethod,persistenceMAE,evaluatedForecasts,intervalCount,precision,recall,elapsedSeconds,rowsPerSecond,llmCalls,llmCostUSD
final,227,harmful_repetition,isolation_forest_prefix,10,8,2,6,3,2,0.6666666666666666,0.25,55.38461538461539,9360,90.0,,,,5 robust standardized units; Isolation Forest prefix 99th percentile,,,,,,,,,,
final,227,harmful_repetition,eidos_none,6,6,3,3,3,3,1.0,0.5,27.692307692307693,9360,0.0,1.6296404533484368,0.8589743589743589,2.0209562978993962,,,1.6266687760621892,156.0,156.0,,,4.407000000000153,40.844111640570404,0.0,0.0
final,227,harmful_repetition,eidos_multiscale,6,6,3,3,3,3,1.0,0.5,27.692307692307693,9360,0.0,1.6293157468842345,0.8589743589743589,2.0209562978993962,,,1.6266687760621892,156.0,156.0,,,3.5,51.42857142857143,0.0,0.0
final,227,harmful_repetition,eidos_regulation,6,6,3,3,3,3,1.0,0.5,27.692307692307693,9360,0.0,1.6296404696817757,0.8589743589743589,2.0209562978993962,,,1.6266687760621892,156.0,156.0,,,8.219000000000051,21.90047451028092,0.0,0.0
final,227,harmful_repetition,eidos_adapt_all,6,6,3,3,3,3,1.0,0.5,27.692307692307693,9360,0.0,1.6296404533484368,0.8910256410256411,2.332279757279466,,,1.6266687760621892,156.0,156.0,,,4.921999999999571,36.570499796833744,0.0,0.0
final,227,isolated_spike,persistence,2,1,1,0,1,1,1.0,1.0,0.0,9360,0.0,1.0004173052423198,0.8846153846153846,2.006048424844596,5 robust standardized units; Isolation Forest prefix 99th percentile,persistence,,,,,,,,,
final,227,isolated_spike,seasonal_12,2,2,1,1,1,1,1.0,0.5,9.23076923076923,9360,0.0,0.893024713394854,0.9166666666666666,1.705801094452619,5 robust standardized units; Isolation Forest prefix 99th percentile,seasonal_12,,,,,,,,,
final,227,isolated_spike,robust_prefix,1,1,1,0,1,1,1.0,1.0,0.0,9360,0.0,,,,5 robust standardized units; Isolation Forest prefix 99th percentile,,,,,,,,,,
final,227,isolated_spike,isolation_forest_prefix,9,8,0,8,1,0,0.0,0.0,73.84615384615384,9360,,,,,5 robust standardized units; Isolation Forest prefix 99th percentile,,,,,,,,,,
final,227,isolated_spike,eidos_none,2,1,1,0,1,1,1.0,1.0,0.0,9360,0.0,1.0277086324630993,0.8782051282051282,2.038273187212894,,,1.0004173052423202,156.0,156.0,,,4.9210000000002765,36.57793131477136,0.0,0.0
final,227,isolated_spike,eidos_multiscale,2,1,1,0,1,1,1.0,1.0,0.0,9360,0.0,1.0237640942811674,0.8910256410256411,2.1272428287524727,,,1.0004173052423202,156.0,156.0,,,4.436999999999898,40.56795131845935,0.0,0.0
final,227,isolated_spike,eidos_regulation,2,1,1,0,1,1,1.0,1.0,0.0,9360,0.0,1.1189848230685062,0.8269230769230769,2.282970279245799,,,1.0004173052423202,156.0,156.0,,,5.594000000000051,32.177332856631814,0.0,0.0
final,227,isolated_spike,eidos_adapt_all,2,1,1,0,1,1,1.0,1.0,0.0,9360,0.0,1.0273528741857432,0.8974358974358975,2.1270845221387753,,,1.0004173052423202,156.0,156.0,,,3.4840000000003783,51.66475315728486,0.0,0.0
final,227,slow_drift,persistence,0,0,0,0,1,0,0.0,,0.0,9360,,0.5131283386609304,0.8782051282051282,2.156568838049801,5 robust standardized units; Isolation Forest prefix 99th percentile,persistence,,,,,,,,,
final,227,slow_drift,seasonal_12,38,8,6,2,1,1,1.0,0.75,18.46153846153846,9360,0.0,1.3561356764627852,0.6538461538461539,2.6230237728427355,5 robust standardized units; Isolation Forest prefix 99th percentile,seasonal_12,,,,,,,,,
final,227,slow_drift,robust_prefix,95,1,1,0,1,1,1.0,1.0,0.0,9360,0.0,,,,5 robust standardized units; Isolation Forest prefix 99th percentile,,,,,,,,,,
final,227,slow_drift,isolation_forest_prefix,32,24,19,5,1,1,1.0,0.7916666666666666,46.15384615384616,9360,0.0,,,,5 robust standardized units; Isolation Forest prefix 99th percentile,,,,,,,,,,
final,227,slow_drift,eidos_none,0,0,0,0,1,0,0.0,,0.0,9360,,0.5161000159471778,0.8782051282051282,2.161391369277355,,,0.5131283386609304,156.0,156.0,,,3.719000000000051,48.40010755579391,0.0,0.0
final,227,slow_drift,eidos_multiscale,0,0,0,0,1,0,0.0,,0.0,9360,,0.5157753094829758,0.8782051282051282,2.161391369277355,,,0.5131283386609304,156.0,156.0,,,3.875,46.45161290322581,0.0,0.0
final,227,slow_drift,eidos_regulation,0,0,0,0,1,0,0.0,,0.0,9360,,0.5161000322805168,0.8782051282051282,2.161391369277355,,,0.5131283386609304,156.0,156.0,,,5.110000000000582,35.22504892367505,0.0,0.0
final,227,slow_drift,eidos_adapt_all,0,0,0,0,1,0,0.0,,0.0,9360,,0.5161000159471778,0.8782051282051282,2.161391369277355,,,0.5131283386609304,156.0,156.0,,,1.844000000000051,97.61388286333786,0.0,0.0
final,227,regime_shift,persistence,1,1,1,0,1,1,1.0,1.0,0.0,9360,0.0,0.564519869344884,0.8910256410256411,2.0045444255465337,5 robust standardized units; Isolation Forest prefix 99th percentile,persistence,,,,,,,,,
final,227,regime_shift,seasonal_12,12,1,1,0,1,1,1.0,1.0,0.0,9360,0.0,1.25464878871333,0.8653846153846154,1.6993993287260294,5 robust standardized units; Isolation Forest prefix 99th percentile,seasonal_12,,,,,,,,,
final,227,regime_shift,robust_prefix,90,1,1,0,1,1,1.0,1.0,0.0,9360,0.0,,,,5 robust standardized units; Isolation Forest prefix 99th percentile,,,,,,,,,,
final,227,regime_shift,isolation_forest_prefix,29,21,19,2,1,1,1.0,0.9047619047619048,18.46153846153846,9360,0.0,,,,5 robust standardized units; Isolation Forest prefix 99th percentile,,,,,,,,,,
final,227,regime_shift,eidos_none,1,1,1,0,1,1,1.0,1.0,0.0,9360,0.0,0.5674915466311313,0.8910256410256411,2.009947344352834,,,0.564519869344884,156.0,156.0,,,1.7659999999996217,101.92525481315887,0.0,0.0
final,227,regime_shift,eidos_multiscale,1,1,1,0,1,1,1.0,1.0,0.0,9360,0.0,0.5671668401669294,0.8910256410256411,2.009947344352834,,,0.564519869344884,156.0,156.0,,,2.45299999999952,73.3795352629577,0.0,0.0
final,227,regime_shift,eidos_regulation,1,1,1,0,1,1,1.0,1.0,0.0,9360,0.0,0.5674915629644705,0.8910256410256411,2.009947344352834,,,0.564519869344884,156.0,156.0,,,4.094000000000051,43.96678065461597,0.0,0.0
final,227,regime_shift,eidos_adapt_all,1,1,1,0,1,1,1.0,1.0,0.0,9360,0.0,0.5674915466311313,0.8974358974358975,2.046323876595536,,,0.564519869344884,156.0,156.0,,,1.905999999999949,94.43861490031732,0.0,0.0
final,227,noisy_interval,persistence,31,7,0,7,0,0,,0.0,64.61538461538461,9360,,1.6879662575936731,0.6923076923076923,2.3144992025329185,5 robust standardized units; Isolation Forest prefix 99th percentile,persistence,,,,,,,,,
final,227,noisy_interval,seasonal_12,37,12,0,12,0,0,,0.0,110.76923076923077,9360,,1.823567965312466,0.6923076923076923,1.7683657902365615,5 robust standardized units; Isolation Forest prefix 99th percentile,seasonal_12,,,,,,,,,
final,227,noisy_interval,robust_prefix,20,10,0,10,0,0,,0.0,92.30769230769232,9360,,,,,5 robust standardized units; Isolation Forest prefix 99th percentile,,,,,,,,,,
final,227,noisy_interval,isolation_forest_prefix,14,12,0,12,0,0,,0.0,110.76923076923077,9360,,,,,5 robust standardized units; Isolation Forest prefix 99th percentile,,,,,,,,,,
final,227,noisy_interval,eidos_none,31,7,0,7,0,0,,0.0,64.61538461538461,9360,,1.7488640701334208,0.7051282051282052,2.317985253180764,,,1.6879662575936731,156.0,156.0,,,2.063000000000102,87.2515753756622,0.0,0.0
final,227,noisy_interval,eidos_multiscale,30,8,0,8,0,0,,0.0,73.84615384615384,9360,,1.8119679798821902,0.7051282051282052,2.339804059407458,,,1.6879662575936731,156.0,156.0,,,2.0,90.0,0.0,0.0
final,227,noisy_interval,eidos_regulation,31,7,0,7,0,0,,0.0,64.61538461538461,9360,,1.6909379512132596,0.6923076923076923,2.3186947675351193,,,1.6879662575936731,156.0,156.0,,,3.155999999999949,57.03422053232031,0.0,0.0
final,227,noisy_interval,eidos_adapt_all,25,10,0,10,0,0,,0.0,92.30769230769232,9360,,1.6938433310714622,0.7884615384615384,6.986270378762827,,,1.6879662575936731,156.0,156.0,,,2.219000000000051,81.11762054979535,0.0,0.0
final,227,contaminated_calibration,persistence,2,2,1,1,1,1,1.0,0.5,9.23076923076923,9360,0.0,0.8722121770371917,0.9038461538461539,2.2470542804731726,5 robust standardized units; Isolation Forest prefix 99th percentile,persistence,,,,,,,,,
final,227,contaminated_calibration,seasonal_12,8,2,1,1,1,1,1.0,0.5,9.23076923076923,9360,0.0,1.8850093651828523,0.8910256410256411,1.7907764330087066,5 robust standardized units; Isolation Forest prefix 99th percentile,seasonal_12,,,,,,,,,
final,227,contaminated_calibration,robust_prefix,4,1,1,0,1,1,1.0,1.0,0.0,9360,0.0,,,,5 robust standardized units; Isolation Forest prefix 99th percentile,,,,,,,,,,
final,227,contaminated_calibration,isolation_forest_prefix,2,1,1,0,1,1,1.0,1.0,0.0,9360,120.0,,,,5 robust standardized units; Isolation Forest prefix 99th percentile,,,,,,,,,,
final,227,contaminated_calibration,eidos_none,2,2,1,1,1,1,1.0,0.5,9.23076923076923,9360,0.0,0.8722121770371919,0.9038461538461539,2.261932195076712,,,0.8722121770371919,156.0,156.0,,,1.844000000000051,97.61388286333786,0.0,0.0
final,227,contaminated_calibration,eidos_multiscale,2,2,1,1,1,1,1.0,0.5,9.23076923076923,9360,0.0,0.8722121770371919,0.9038461538461539,2.261932195076712,,,0.8722121770371919,156.0,156.0,,,2.092999999999847,86.00095556617923,0.0,0.0
final,227,contaminated_calibration,eidos_regulation,2,2,1,1,1,1,1.0,0.5,9.23076923076923,9360,0.0,0.8722121770371919,0.9038461538461539,2.261932195076712,,,0.8722121770371919,156.0,156.0,,,2.891000000000531,62.2621930127869,0.0,0.0
final,227,contaminated_calibration,eidos_adapt_all,2,2,1,1,1,1,1.0,0.5,9.23076923076923,9360,0.0,0.8722121770371919,0.9102564102564102,2.3693389427747036,,,0.8722121770371919,156.0,156.0,,,1.625,110.76923076923077,0.0,0.0
