blind_id,receipt,source_file,drive_file_id,fetched_title,title_match,file_size_bytes,downloaded_byte_sha256,lf_normalized_sha256,canonical_json_sha256,locked_raw_sha256,locked_sanitized_sha256,locked_raw_hash_matches_downloaded_bytes,locked_raw_hash_matches_canonical_json
H015,natural,engine_card_012.json,1UBWSgS3NG9YJoNykz0Y91KvfWcy94FHl,engine_card_012.json,True,5201,e6a8e48fbc7af653ea4a61bbf9974050ba7c463f6114cfe0e9fe765e137d01cb,fde2a411fe9f397cdf5e1e5b556154ce44149c709394d7e9336c68c109101898,e1631d6abce5baf3efc0f2746c92a8c6f63da08f949dcac4891d31ab5f1fb118,ff006ce7f20ff0b40dcbbc3d53440df7ee9debc5d0a93128c4c8266635e84a8c,85b1e88994d3293f1e3fe1fa3d08779849838be28251b988d6729f107e91a1eb,False,False
H016,normal,confirmed_event_009.json,1n6Ot4sVgeq8xV38tkHdQElRS4iTHoKc7,confirmed_event_009.json,True,1044,2ed05f2b1c14d693ff8602e125b9d9d54340fba023e1bcc77cb9dbd4fc7f5977,427936c446ae8660aa94fa588a0eeee43c9e6ab2b0fcbd6275366dcde78d8f19,6c1571db2754ce2c71f5ded844178f5eae7e323c630b9f092ec00f8f64cdb987,65eac24a38f45f7392d2e3036a8ff250344ee535e556bbf09eba0f5a7920b7c9,3e870cdc124b5fe556011c88afaea8d5b6719ac26168818997bebaf6728f271f,False,False
H017,normal,engine_card_008.json,1DdR75E-vSN7ON5cXaYtFxcQFUwRjFhHT,engine_card_008.json,True,5195,b356523bc62f54152c430700d820486e9d5d2867763260ff8cdb62ed1c1ec70b,103c4311a46e453e0589265816910beaab5165b06bd924848e878d4634cbdf3f,0685c2bd158c5241d06fd3b7883d174c123d0ebabe70d1bfef3ff59a6e662aab,43b32788f7f584e383e77a2cf2466c58e57dc3b8ebca855f46a8a7fdfb5c362b,da6252f317c9ae660810a9d35d6954bed1632eb3b72edbd211e1a410f0fdccd4,False,False
H018,natural,engine_card_046.json,1DVUTiSMchD_Y-GfGOP6FHJsGl3BJfV29,engine_card_046.json,True,5166,a65fc3dabb7d6fbfc2f6da903a00dfea5ecacb2baa88a89cf3472be8cece07ea,c951228ded61dc14afa5a25c967ae887bd78e87fbf3ba7f5d218dbb89f2c3021,02aba59abae4f8ecf694728e5d322db53f8ca44832556e4f39eb993fbd082344,04c80f051c5904d94693aa198d34b0f5a92cb382acdce7839040c532b8c4a3cd,450abaefd1db7e77d0a19309a6ca638259744ec66d5f1fb1a20cb9eae5f5d167,False,False
H019,normal,engine_card_036.json,1KRPvd5RjKhPTcqj-B7CbYIps7EWYyzKx,engine_card_036.json,True,5203,e167682c93ba9b3a97b61f12c6df06f31bb454c3c7a6880ce41de2ebc7840f2a,725fa12019824434b5775d5456da890692e93e99c615541b7fd8d75ccd375fd1,400bbbda29beb57ff5b9497432f785dd400095532fbb261c8d6a8eadbb9dcb40,511a62c6a19438a82bf7c7403950463d7218d02e85cf314b6b414c6c6eab9772,8429e03c49bd95dd9e4c22c7fa4260fd025cdecb8d6baedc1274b728e5b3bd37,False,False
H020,normal,confirmed_event_003.json,1bm7-a48i2__toBSkPitUeqdceCP0tOBk,confirmed_event_003.json,True,721,7d94c77db95f50ce5580618c28cfce73692a49caca76ee3e5d41c6d33f089ff0,43a626f88b2c569912a5141821a1e929f59978012fc2670f5f90b09d814af76e,f6decccbcafab0d5b5562cafa1f41f758a6f4b4c4e4cfe61b252a2125e510868,088f24155e49ad9ce981e7bb7773b22860409e3350e27371598f326a67b29828,1a1f7cc3bac1fbdfe8a7f8b094f5816284290e94c0932fdc108a100930ab882a,False,False
H021,normal,engine_card_040.json,11piOSNcTHmxsiKDr3bBIf3ZpR5B1bl24,engine_card_040.json,True,5197,06d38bee53f794db0711d285d6978d97724128dd117e536eb6a684874bc4aa9d,78e486396da52bd2e7c8316bde01018636ab560fb001722e06a4f7236077c8f6,c6df704742b5b5c5008d51f0e1a1641f4dfc10be99af3896db18df0f1ee5af65,da61927d4dd50ea5eb9bfaa32327c94c09b866a61539eca9951daec06fb6da6b,1b7fd97d9bd07772646e55bce4a67a99900a321bcf54e933458b9d35023af7e2,False,False
H022,natural,engine_card_035.json,1re1N1wXiM1ZQlqDIIwvxWoX0a2SNPiNj,engine_card_035.json,True,5171,ed846530b385d20bbdf63ca96dd71af231a2f2bc59daf01a8a1151bb15435a59,293bc6c0d46f65cba92e598a5d666770813861b206c265275a970a069fb2a3b8,eca2d95801f28187e64a6565039967b24c3468615a7d7dd243537cb427928813,1f30dbd341cd0ffb29c525c9daf17a8308069490010f81b50cd8cfc99f174cc9,501a1f2b3a403aa8a5e89c812f56bc40d87333a60b92fdaf4feff65eabbf1b88,False,False
H023,normal,engine_card_064.json,1nvegd0DPBA8i-dg8w7eI9qW0PAfkjJPR,engine_card_064.json,True,5199,d57d80759fcd70830dcbd9376b7f068b4b2735e9bc428d6b1a8742d72285768a,e9bbc9f9039ff4c16830930c3e25635761c2a9a8270aa391306fe9675d899300,8413c3013e906d1771e50d532122706228100ecda266b170cc258a17bed9b7a9,fe82046c9d4b8f68291491534f1dec99524a88493fc3a0dd77c5db45781df051,b0aa1c6403c5ece5f06df9e0671bf44e01f1a14fa82c6207fba3d89890ba2c9e,False,False
H024,natural,engine_card_038.json,1uudxWR4uKG_w83-Or5xhqpfwjriZniIp,engine_card_038.json,True,5181,ff2ffcf18eb3b4a25c4f9f15de961ef0cae09fcd9ae22279b21179361112dcc1,1e2cf1462577f8ef3bfda22b87e6e98768d7fe6c04e663687d464028760df96c,de22f5aa8a70c50c977e48ac87cc50861d86ec0eb136b5b7efb1422dab38a035,2166bb1b1034bc52972e3665c5c13705ad4ae742b7a676a9de42f31ef34852dc,e31a3f7d7b50d13eef5d0c6d135b59b77e239fb17cde1172d86f48c9fd73fed9,False,False
